Brand,Name,Price,Year,City,Car case,Volume,Transmission,Mileage,Gear,Steer wheel,Color,Custom clearance
Suzuki,Grand Vitara,4500000,2005,Алматы,внедорожник,1.6,механика,158000.0,полный привод,слева,синий,Да
Hyundai,Accent,7000000,2018,Алматы,седан,1.6,автомат,,передний привод,слева,серебристый металлик,Да
Mercedes-Benz,E 280,2400000,1996,Алматы,седан,2.8,автомат,,задний привод,слева,,Да
Toyota,Camry,11600000,2016,Алматы,седан,2.0,автомат,160000.0,передний привод,слева,белый металлик,Да
Hyundai,Sonata,5999999,2015,Алматы,седан,2.0,автомат,80000.0,передний привод,слева,белый металлик,Да
Volkswagen,Passat,900000,1990,Алматы,универсал,1.8,механика,,передний привод,слева,серебристый металлик,Да
BMW,X7,50000000,2021,Алматы,кроссовер,3.0,автомат,70000.0,полный привод,слева,черный металлик,Да
Kia,Sportage,12000000,2019,Алматы,кроссовер,2.4,автомат,126000.0,передний привод,слева,белый,Да
Hyundai,Galloper,1500000,2001,Алматы,внедорожник,2.5,механика,176548.0,полный привод,слева,серебристый металлик,Да
Subaru,Forester,11700000,2013,Алматы,кроссовер,2.5,вариатор,,полный привод,слева,,Да
Hyundai,Sonata,16700000,2022,Алматы,седан,2.5,автомат,21000.0,передний привод,слева,белый,Да
Daewoo,Nexia,2350000,2012,Алматы,седан,1.5,механика,272000.0,передний привод,слева,серебристый металлик,Да
Toyota,Camry,19000000,2023,Алматы,седан,2.5,автомат,,передний привод,слева,серебристый металлик,Да
Hyundai,Accent,6800000,2018,Узынагаш,седан,1.6,автомат,89000.0,передний привод,слева,серый металлик,Да
ГАЗ,ГАЗель,9500000,2014,Алматы,фургон,4.3,автомат,,задний привод,слева,белый,Да
Ford,Explorer,17685000,2016,Алматы,внедорожник,3.5,автомат,72298.0,полный привод,слева,белый,Да
Audi,e-tron,30500000,2019,Алматы,кроссовер,,автомат,49000.0,полный привод,слева,синий металлик,Да
Volkswagen,Touareg,6000000,2005,Алматы,кроссовер,3.2,автомат,215000.0,полный привод,слева,черный металлик,Да
Mitsubishi,Delica,1750000,1993,Алматы,минивэн,2.5,автомат,536444.0,полный привод,справа,голубой металлик,Да
